setup_id,trigger_date,target_ticker,horizon_days,pnl_per_share,option_type,strike_price,entry_premium,exit_value,pnl_dollars,pnl_pct,skipped_reason,Underlying_Exit_Price,Return_Underlying
S1355,2019-12-30,QQQ US Equity,1,-0.26241136513594343,call,212.21,0.6624113651359491,0.4000000000000057,-26.24,-39.6146,None,212.61,0.0018849253098346245
S1355,2019-12-30,QQQ US Equity,3,2.8026698600734656,call,212.21,1.147330139926523,3.9499999999999886,280.27,244.2775,None,216.16,0.0186136374346166
S1355,2019-12-30,QQQ US Equity,10,4.68527133818895,call,212.21,2.094728661811051,6.780000000000001,468.53,223.6696,None,218.99,0.031949484001696435
S1355,2019-12-30,QQQ US Equity,21,8.13444977806547,call,212.21,3.035550221934518,11.169999999999987,813.44,267.9728,None,223.38,0.052636539277131085
S1355,2019-12-31,QQQ US Equity,1,-0.6256935615827047,call,212.61,0.6256935615827047,0.0,-62.57,-100.0,None,212.61,0.0
S1355,2019-12-31,QQQ US Equity,3,0.48626696137002234,call,212.61,1.0837330386299708,1.5699999999999932,48.63,44.8696,None,214.18,0.007384412774563723
S1355,2019-12-31,QQQ US Equity,10,3.8413832280958182,call,212.61,1.9786167719041752,5.819999999999993,384.14,194.1449,None,218.43,0.027374065189784077
S1355,2019-12-31,QQQ US Equity,21,7.80271189220073,call,212.61,2.8672881077992574,10.669999999999987,780.27,272.1286,None,223.28,0.05018578618127081
S1355,2020-01-01,QQQ US Equity,1,2.924306438417278,call,212.61,0.6256935615827047,3.549999999999983,292.43,467.3704,None,216.16,0.016697239076242806
S1355,2020-01-01,QQQ US Equity,3,0.48626696137002234,call,212.61,1.0837330386299708,1.5699999999999932,48.63,44.8696,None,214.18,0.007384412774563723
S1355,2020-01-01,QQQ US Equity,10,3.8413832280958182,call,212.61,1.9786167719041752,5.819999999999993,384.14,194.1449,None,218.43,0.027374065189784077
S1355,2020-01-01,QQQ US Equity,21,8.392711892200733,call,212.61,2.8672881077992574,11.259999999999991,839.27,292.7056,None,223.87,0.05296082028126612
S1355,2020-01-02,QQQ US Equity,1,-0.5868273165105906,call,216.16,0.5868273165105906,0.0,-58.68,-100.0,None,214.18,-0.009159881569207946
S1355,2020-01-02,QQQ US Equity,3,-1.0164147274656457,call,216.16,1.0164147274656457,0.0,-101.64,-100.0,None,215.56,-0.00277572168763876
S1355,2020-01-02,QQQ US Equity,10,2.934289086621993,call,216.16,1.8557109133779994,4.789999999999992,293.43,158.1221,None,220.95,0.02215951147298294
S1355,2020-01-02,QQQ US Equity,21,5.740819402222417,call,216.16,2.68918059777759,8.430000000000007,574.08,213.4784,None,224.59,0.03899888971132498
S1355,2020-01-03,QQQ US Equity,1,-0.6461335394176422,call,214.18,0.6461335394176422,0.0,-64.61,-100.0,None,214.18,0.0
S1355,2020-01-03,QQQ US Equity,3,0.26086388125433135,call,214.18,1.119136118745664,1.3799999999999955,26.09,23.3094,None,215.56,0.006443178634793143
S1355,2020-01-03,QQQ US Equity,10,4.726746342814048,call,214.18,2.0432536571859345,6.769999999999982,472.67,231.3343,None,220.95,0.03160892707068812
S1355,2020-01-03,QQQ US Equity,21,5.559044146568904,call,214.18,2.960955853431078,8.519999999999982,555.9,187.7449,None,222.7,0.03977962461480989
S1355,2020-01-06,QQQ US Equity,1,-0.6619772919573683,call,215.56,0.6619772919573683,0.0,-66.2,-100.0,None,215.53,-0.00013917238819818675
S1355,2020-01-06,QQQ US Equity,3,2.2834216968729883,call,215.56,1.1465783031270183,3.430000000000007,228.34,199.151,None,218.99,0.01591204305065878
S1355,2020-01-06,QQQ US Equity,10,4.626643998104452,call,215.56,2.093356001895547,6.719999999999999,462.66,221.0156,None,222.28,0.031174614956392645
S1355,2020-01-06,QQQ US Equity,21,-0.49356104873653006,call,215.56,3.033561048736522,2.539999999999992,-49.36,-16.27,None,218.1,0.011783262200779328
S1574,2018-12-24,GLD US Equity,1,-0.3129717750693201,call,120.02,0.3129717750693201,0.0,-31.3,-100.0,None,120.02,0.0
S1574,2018-12-24,GLD US Equity,3,0.007916984244916159,call,120.02,0.542083015755081,0.5499999999999972,0.79,1.4605,None,120.57,0.0045825695717380205
S1574,2018-12-24,GLD US Equity,10,1.4202963474350567,call,120.02,0.989703652564954,2.410000000000011,142.03,143.5072,None,122.43,0.02007998666888861
S1574,2018-12-24,GLD US Equity,21,0.635783150360155,call,120.02,1.4342168496398524,2.0700000000000074,63.58,44.3296,None,122.09,0.01724712547908688
S1574,2018-12-25,GLD US Equity,1,-0.3129717750693201,call,120.02,0.3129717750693201,0.0,-31.3,-100.0,None,119.66,-0.002999500083319442
S1574,2018-12-25,GLD US Equity,3,0.49791698424492525,call,120.02,0.542083015755081,1.0400000000000063,49.79,91.8525,None,121.06,0.008665222462922898
S1574,2018-12-25,GLD US Equity,10,0.43029634743504774,call,120.02,0.989703652564954,1.4200000000000017,43.03,43.4773,None,121.44,0.011831361439760055
S1574,2018-12-25,GLD US Equity,21,0.425783150360147,call,120.02,1.4342168496398524,1.8599999999999994,42.58,29.6875,None,121.88,0.015497417097150471
S1574,2018-12-26,GLD US Equity,1,0.6281407024372664,call,119.66,0.2818592975627302,0.9099999999999966,62.81,222.8561,None,120.57,0.007604880494735055
S1574,2018-12-26,GLD US Equity,3,0.9118053760356823,call,119.66,0.48819462396432334,1.4000000000000057,91.18,186.7709,None,121.06,0.011699816145746328
S1574,2018-12-26,GLD US Equity,10,0.8886826400066278,call,119.66,0.8913173599933734,1.7800000000000011,88.87,99.7044,None,121.44,0.014875480528163138
