setup_id,trigger_date,target_ticker,horizon_days,pnl_per_share,option_type,strike_price,entry_premium,exit_value,pnl_dollars,pnl_pct,skipped_reason,Underlying_Exit_Price,Return_Underlying
S1792,2024-03-01,XLE US Equity,1,-0.326146781337981,call,87.14,0.326146781337981,0.0,-32.61,-100.0,None,87.14,0.0
S1792,2024-03-01,XLE US Equity,3,-0.56490279600244,call,87.14,0.56490279600244,0.0,-56.49,-100.0,None,86.21,-0.010672481064953027
S1792,2024-03-01,XLE US Equity,10,0.9086333194390792,call,87.14,1.0313666805609185,1.9399999999999977,90.86,88.0999,None,89.08,0.022263025017213653
S1792,2024-03-01,XLE US Equity,21,3.7654076868524964,call,87.14,1.4945923131475085,5.260000000000005,376.54,251.9354,None,92.4,0.06036263484048663
S1792,2024-03-04,XLE US Equity,1,0.31744949287295665,call,86.21,0.3225505071270439,0.6400000000000006,31.74,98.4185,None,86.85,0.007423732745621164
S1792,2024-03-04,XLE US Equity,3,1.0913261336488582,call,86.21,0.5586738663511474,1.6500000000000057,109.13,195.3423,None,87.86,0.019139310984804616
S1792,2024-03-04,XLE US Equity,10,4.06000573703618,call,86.21,1.0199942629638328,5.0800000000000125,406.0,398.042,None,91.29,0.05892587866836809
S1792,2024-03-04,XLE US Equity,21,5.57188788564394,call,86.21,1.4781121143560718,7.050000000000011,557.19,376.9598,None,93.26,0.0817770560259832
S1792,2024-03-05,XLE US Equity,1,-0.09562451451500525,call,86.85,0.3656245145150155,0.27000000000001023,-9.56,-26.1537,None,87.12,0.0031088082901555582
S1792,2024-03-05,XLE US Equity,3,0.6867197643672961,call,86.85,0.6332802356327113,1.3200000000000074,68.67,108.4385,None,88.17,0.015198618307426684
S1792,2024-03-05,XLE US Equity,10,3.553793765739265,call,86.85,1.1562062342607429,4.710000000000008,355.38,307.3668,None,91.56,0.054231433506045
S1792,2024-03-05,XLE US Equity,21,4.014497986303473,call,86.85,1.6755020136965386,5.690000000000012,401.45,239.5997,None,92.54,0.06551525618883146
S1792,2024-03-06,XLE US Equity,1,0.39581256230165435,call,87.12,0.34418743769834054,0.7399999999999949,39.58,114.9991,None,87.86,0.00849403122130389
S1792,2024-03-06,XLE US Equity,3,0.45384987057952375,call,87.12,0.5961501294204734,1.0499999999999972,45.38,76.1301,None,88.17,0.01205234159779611
S1792,2024-03-06,XLE US Equity,10,3.3515837548559393,call,87.12,1.0884162451440582,4.439999999999998,335.16,307.9322,None,91.56,0.050964187327823665
S1792,2024-03-06,XLE US Equity,21,4.7027350134944585,call,87.12,1.5772649865055426,6.280000000000001,470.27,298.1576,None,93.4,0.07208448117539028
S1792,2024-03-07,XLE US Equity,1,-0.021463849753451336,call,87.86,0.3314638497534536,0.3100000000000023,-2.15,-6.4755,None,88.17,0.003528340541771025
S1792,2024-03-07,XLE US Equity,3,0.6458877713546405,call,87.86,0.5741122286453584,1.2199999999999989,64.59,112.502,None,89.08,0.01388572729342134
S1792,2024-03-07,XLE US Equity,10,2.2318192727712467,call,87.86,1.0481807272287544,3.280000000000001,223.18,212.9231,None,91.14,0.037332119280673814
S1792,2024-03-07,XLE US Equity,21,5.0310418183633265,call,87.86,1.5189581816366706,6.549999999999997,503.1,331.2166,None,94.41,0.07455042112451625
S1792,2024-03-08,XLE US Equity,1,-0.3259088037608586,call,88.17,0.3259088037608586,0.0,-32.59,-100.0,None,88.17,0.0
S1792,2024-03-08,XLE US Equity,3,0.34550939325219465,call,88.17,0.5644906067478019,0.9099999999999966,34.55,61.2073,None,89.08,0.0103209708517636
S1792,2024-03-08,XLE US Equity,10,1.9393858706148352,call,88.17,1.0306141293851636,2.969999999999999,193.94,188.1777,None,91.14,0.03368492684586593
S1792,2024-03-08,XLE US Equity,21,4.746498237113352,call,88.17,1.4935017628866432,6.239999999999995,474.65,317.81,None,94.41,0.0707723715549506
