setup_id,trigger_date,target_ticker,horizon_days,entry_direction,underlying_entry_px,Underlying_Exit_Price,Return_Underlying,ivol_at_entry,pnl_per_share,option_type,strike_price,entry_premium,exit_value,pnl_dollars,skipped_reason
S0317,2023-03-20,QQQ US Equity,1,long,305.97,310.34,0.014282445991436897,25.0221,2.767612749038251,call,305.97,1.6023872509616965,4.369999999999948,276.7612749038251,None
S0317,2023-03-21,QQQ US Equity,1,long,310.34,306.12,-0.013597989302055715,23.1932,-1.506479783131999,call,310.34,1.506479783131999,0.0,-150.6479783131999,None
S0317,2023-03-22,QQQ US Equity,1,long,306.12,309.75,0.011858094864758903,24.0986,2.085996086442286,call,306.12,1.5440039135577095,3.6299999999999955,208.5996086442286,None
S0317,2023-03-23,QQQ US Equity,1,long,309.75,310.89,0.0036803874092009247,23.8118,-0.40371960705237186,call,309.75,1.5437196070523582,1.1399999999999864,-40.371960705237186,None
S0317,2023-03-24,QQQ US Equity,1,long,310.89,310.89,0.0,23.7414,-1.5448202620324114,call,310.89,1.5448202620324114,0.0,-154.48202620324113,None
S0317,2023-03-27,QQQ US Equity,1,long,308.76,307.12,-0.005311568856069395,23.1982,-1.4991331219659203,call,308.76,1.4991331219659203,0.0,-149.91331219659202,None
S0317,2023-03-28,QQQ US Equity,1,long,307.12,312.72,0.01823391508205269,22.7763,4.135949178371646,call,307.12,1.4640508216283767,5.600000000000023,413.59491783716464,None
S0317,2023-03-29,QQQ US Equity,1,long,312.72,315.68,0.009465336403172101,20.9909,1.58611115899942,call,312.72,1.3738888410005596,2.9599999999999795,158.61111589994198,None
S0317,2023-03-30,QQQ US Equity,1,long,315.68,320.93,0.016630765331981753,21.2069,3.8488354678785264,call,315.68,1.4011645321214734,5.25,384.88354678785265,None
S0317,2023-03-31,QQQ US Equity,1,long,320.93,320.93,0.0,20.4745,-1.3752716799959204,call,320.93,1.3752716799959204,0.0,-137.52716799959202,None
S0317,2023-03-20,QQQ US Equity,3,long,305.97,309.75,0.012354152367879113,25.0221,1.0045838679336927,call,305.97,2.77541613206628,3.7799999999999727,100.45838679336927,None
S0317,2023-03-21,QQQ US Equity,3,long,310.34,310.89,0.0017722497905523344,23.1932,-2.0592995249599544,call,310.34,2.6092995249599658,0.5500000000000114,-205.92995249599545,None
