setup_id,target_ticker,feature_conditions,support,entry_direction,dominant_signal_type,first_trigger_date,last_trigger_date,accuracy_1d,sharpe_1d,accuracy_3d,sharpe_3d,avg_return_10d,sharpe_10d,hit_rate_21d,sharpe_21d,avg_underlying_entry_px_1d,avg_underlying_exit_px_1d,avg_option_pnl_dollars_1d,avg_underlying_entry_px_3d,avg_underlying_exit_px_3d,avg_option_pnl_dollars_3d,avg_underlying_entry_px_10d,avg_underlying_exit_px_10d,avg_option_pnl_dollars_10d,avg_underlying_entry_px_21d,avg_underlying_exit_px_21d,avg_option_pnl_dollars_21d,fitness,setup_duration_days,avg_trigger_frequency_per_day
S1739,QQQ US Equity,"[""corr_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST_20d < 20th percentile"", ""corr_NFP TCH Index:PX_LAST_SPCSUSA Index:PX_LAST_60d < 20th percentile"", ""corr_delta_DXY Curncy:PX_LAST_SPY US Equity:PX_LAST z-score > 1.5""]",6,short,correlation,2021-10-12,2025-02-13,1.0,32.516856786340625,1.0,29.356550081011857,0.030798650314841042,0.0,0.8333333333333334,0.0,393.54333333333335,396.355,-137.99393061896888,393.54333333333335,399.76666666666665,-239.01249896818874,393.54333333333335,401.35833333333335,-169.20845736852434,393.54333333333335,410.885,162.63236749409074,148.59594031059703,1220,0.004918032786885246
S1739,SPY US Equity,"[""corr_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST_20d < 20th percentile"", ""corr_NFP TCH Index:PX_LAST_SPCSUSA Index:PX_LAST_60d < 20th percentile"", ""corr_delta_DXY Curncy:PX_LAST_SPY US Equity:PX_LAST z-score > 1.5""]",6,short,correlation,2021-10-12,2025-02-13,0.8333333333333334,20.15290064941882,1.0,29.59670677221313,0.024774429858644142,0.0,0.8333333333333334,0.0,469.01500000000004,471.6266666666667,-132.82082415737625,469.01500000000004,474.90166666666664,-230.23542844563949,469.01500000000004,478.81166666666667,-182.89022778639858,469.01500000000004,483.95,96.19287550866602,148.59594031059703,1220,0.004918032786885246
S1739,XLK US Equity,"[""corr_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST_20d < 20th percentile"", ""corr_NFP TCH Index:PX_LAST_SPCSUSA Index:PX_LAST_60d < 20th percentile"", ""corr_delta_DXY Curncy:PX_LAST_SPY US Equity:PX_LAST z-score > 1.5""]",6,short,correlation,2021-10-12,2025-02-13,1.0,26.338571131265816,1.0,30.040075782607392,0.02422715254799525,0.0,0.8333333333333334,0.0,168.095,169.41833333333332,-109.17092673272346,168.095,170.86833333333334,-189.21160027838448,168.095,171.1716666666667,-144.6447179123537,168.095,173.84500000000003,101.50775749854688,148.59594031059703,1220,0.004918032786885246
S1739,XLF US Equity,"[""corr_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST_20d < 20th percentile"", ""corr_NFP TCH Index:PX_LAST_SPCSUSA Index:PX_LAST_60d < 20th percentile"", ""corr_delta_DXY Curncy:PX_LAST_SPY US Equity:PX_LAST z-score > 1.5""]",6,short,correlation,2021-10-12,2025-02-13,0.8333333333333334,11.964598519440091,1.0,53.09265048325012,0.02709410486382045,0.0,0.8333333333333334,0.0,41.07666666666666,41.324999999999996,-84.86573187598005,41.07666666666666,41.653333333333336,-148.67097902193254,41.07666666666666,42.295,-117.78804725459304,41.07666666666666,41.75833333333333,67.90617675491632,148.59594031059703,1220,0.004918032786885246
S1739,XLE US Equity,"[""corr_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST_20d < 20th percentile"", ""corr_NFP TCH Index:PX_LAST_SPCSUSA Index:PX_LAST_60d < 20th percentile"", ""corr_delta_DXY Curncy:PX_LAST_SPY US Equity:PX_LAST z-score > 1.5""]",6,short,correlation,2021-10-12,2025-02-13,0.8333333333333334,16.046305688424958,1.0,33.390981505474095,0.016984627459713686,0.0,1.0,0.0,62.37166666666666,62.69333333333333,-74.596020653832,62.37166666666666,62.81333333333333,-130.83614862246318,62.37166666666666,63.71666666666667,-115.95560731124017,62.37166666666666,62.643333333333324,35.34217978303686,148.59594031059703,1220,0.004918032786885246
S1739,ARKK US Equity,"[""corr_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST_20d < 20th percentile"", ""corr_NFP TCH Index:PX_LAST_SPCSUSA Index:PX_LAST_60d < 20th percentile"", ""corr_delta_DXY Curncy:PX_LAST_SPY US Equity:PX_LAST z-score > 1.5""]",6,short,correlation,2021-10-12,2025-02-13,1.0,27.49024770610521,1.0,81.90488262310534,0.023911179969449452,0.0,0.8333333333333334,0.0,106.39666666666666,107.87166666666667,-73.63468064734845,106.39666666666666,108.73,-128.8990504199569,106.39666666666666,109.995,-117.07187034154965,106.39666666666666,111.65833333333335,11.994689080496414,148.59594031059703,1220,0.004918032786885246
S1739,VIX Index,"[""corr_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST_20d < 20th percentile"", ""corr_NFP TCH Index:PX_LAST_SPCSUSA Index:PX_LAST_60d < 20th percentile"", ""corr_delta_DXY Curncy:PX_LAST_SPY US Equity:PX_LAST z-score > 1.5""]",6,short,correlation,2021-10-12,2025-02-13,0.16666666666666666,-22.474274587822173,0.16666666666666666,-19.295595363114774,0.01657066735158323,0.0,0.5,0.0,17.176666666666666,16.42833333333333,-57.02236699021466,17.176666666666666,15.933333333333335,-100.01926386216375,17.176666666666666,16.14166666666667,-90.3379620064274,17.176666666666666,17.523333333333333,10.117978440746432,148.59594031059703,1220,0.004918032786885246
S1739,GLD US Equity,"[""corr_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST_20d < 20th percentile"", ""corr_NFP TCH Index:PX_LAST_SPCSUSA Index:PX_LAST_60d < 20th percentile"", ""corr_delta_DXY Curncy:PX_LAST_SPY US Equity:PX_LAST z-score > 1.5""]",6,short,correlation,2021-10-12,2025-02-13,0.5,-2.0504698892648343,0.6666666666666666,-1.1099400494600413,0.004304278506880976,0.0,1.0,0.0,183.46833333333333,182.99833333333333,-43.224649139714494,183.46833333333333,182.25666666666666,-79.75050359701265,183.46833333333333,185.615,-102.0278163821622,183.46833333333333,184.85333333333335,-15.638495275009404,148.59594031059703,1220,0.004918032786885246
S1739,NBIS US Equity,"[""corr_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST_20d < 20th percentile"", ""corr_NFP TCH Index:PX_LAST_SPCSUSA Index:PX_LAST_60d < 20th percentile"", ""corr_delta_DXY Curncy:PX_LAST_SPY US Equity:PX_LAST z-score > 1.5""]",6,short,correlation,2021-10-12,2025-02-13,0.6666666666666666,6.701936588438858,0.3333333333333333,5.200110353322066,0.0011018873811163103,0.0,0.8333333333333334,0.0,71.02166666666666,71.35333333333334,-43.1968222677815,71.02166666666666,71.08166666666668,-77.65421738328095,71.02166666666666,70.80333333333334,-97.583055202759,71.02166666666666,75.06166666666668,-19.052089060026105,148.59594031059703,1220,0.004918032786885246
S1739,LLY US Equity,"[""corr_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST_20d < 20th percentile"", ""corr_NFP TCH Index:PX_LAST_SPCSUSA Index:PX_LAST_60d < 20th percentile"", ""corr_delta_DXY Curncy:PX_LAST_SPY US Equity:PX_LAST z-score > 1.5""]",6,short,correlation,2021-10-12,2025-02-13,0.8333333333333334,1.5921444535901945,0.8333333333333334,12.347683371812144,0.058018445983134805,0.0,0.8333333333333334,0.0,342.43833333333333,339.245,-11.379546576330775,342.43833333333333,339.86,-55.92370297964162,342.43833333333333,352.05833333333334,-146.28179190083316,342.43833333333333,372.06666666666666,-101.85918237942472,148.59594031059703,1220,0.004918032786885246
