setup_id,target_ticker,feature_conditions,support,entry_direction,dominant_signal_type,first_trigger_date,last_trigger_date,sharpe_1d,sortino_1d,calmar_1d,sharpe_3d,sortino_3d,calmar_3d,sharpe_10d,sortino_10d,calmar_10d,sharpe_21d,sortino_21d,calmar_21d,avg_underlying_entry_px_1d,avg_underlying_exit_px_1d,avg_option_pnl_dollars_1d,avg_underlying_entry_px_3d,avg_underlying_exit_px_3d,avg_option_pnl_dollars_3d,avg_underlying_entry_px_10d,avg_underlying_exit_px_10d,avg_option_pnl_dollars_10d,avg_underlying_entry_px_21d,avg_underlying_exit_px_21d,avg_option_pnl_dollars_21d,fitness,setup_duration_days,avg_trigger_frequency_per_day
S0278,QQQ US Equity,"[""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5"", ""beta_ARKK US Equity:PX_LAST_QQQ US Equity:PX_LAST_60d z-score > 1.5"", ""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,12.454872403445272,21.5366215915014,268.0231000468945,28.643108983291768,,183770.43181317352,210.49843275049835,,,0.0,,,203.89125,204.61374999999998,20.040143617319565,203.89125,206.28875,112.0041774852512,203.89125,211.36875,389.9166196931358,203.89125,216.07625000000002,618.9839652979513,210.49843275049835,9,0.8888888888888888
S0278,SPY US Equity,"[""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5"", ""beta_ARKK US Equity:PX_LAST_QQQ US Equity:PX_LAST_60d z-score > 1.5"", ""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,11.365175365318379,34.43681168416599,278.0911335653832,26.355548204251882,,6541.491105299665,79.90870836683433,,,0.0,,,313.3575,314.32875,26.264113486042607,313.3575,316.27750000000003,134.50349326167495,313.3575,320.92625,352.4500507893657,313.3575,324.03999999999996,486.89148084760507,210.49843275049835,9,0.8888888888888888
S0474,SPY US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,11.535955699981201,34.43681168416599,278.0911335653832,25.92321891078703,,6541.491105299665,79.90870836683433,,,0.0,,,313.3575,314.32875,26.264113486042607,313.3575,316.27750000000003,134.50349326167495,313.3575,320.92625,352.4500507893657,313.3575,324.03999999999996,486.89148084760507,210.49843275049835,9,0.8888888888888888
S0474,XLK US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,15.338076767576261,,446.11658657515665,29.728394861372337,,,140.64487570532773,,,0.0,,,87.3375,87.7575,17.780981474416272,87.3375,88.64375,73.71713726071604,87.3375,90.92875000000001,213.85464221937394,87.3375,93.11375000000001,309.16470410297813,210.49843275049835,9,0.8888888888888888
S0474,XLF US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,9.11790612991282,106.79172176618984,560.3183346719243,22.822094485263243,,5950.928568134871,22.55790738835322,,,0.0,,37521.176620182225,30.165,30.31125,7.72365672906141,30.165,30.558750000000003,21.508864040607996,30.165,30.75625,27.293918661131304,30.165,30.77625,16.303523017312695,210.49843275049835,9,0.8888888888888888
S0474,XLE US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,7.322292691962271,26.27076090809616,317.5210030235561,25.439949554322943,,49482.91951216243,55.31306059629974,,,0.0,23.304634650456897,2788.7926433137527,59.38375,59.67125,14.068718971823499,59.38375,60.27125,32.994197402905016,59.38375,61.64125,90.97780459752785,59.38375,60.28375,43.34511985933891,210.49843275049835,9,0.8888888888888888
S0474,ARKK US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,0.04630568706816087,0.5093533913693369,0.649718620039999,8.810737501653605,23.17656872649484,325.42080979591293,50.602526752133514,,,0.0,,,49.1725,49.17375,-8.354110578980892,49.1725,49.45625,-15.816531492161054,49.1725,51.19375,46.441679012902725,49.1725,51.11875,59.561732635973556,210.49843275049835,9,0.8888888888888888
S0474,VIX Index,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,-5.381441269436447,-13.772568087617854,-4.907128057139532,-8.573457068053525,-28.121405117236883,-2.0222536563573765,-47.342495584776046,-47.342495584776046,-1.4952108615595294,0.0,-37.80654937037496,-1.8694055466343562,14.92125,14.504999999999999,-42.51354647830307,14.92125,13.89375,-28.88562251036185,14.92125,12.559999999999999,-134.4396382828679,14.92125,13.307500000000001,-194.8215447978471,210.49843275049835,9,0.8888888888888888
S0474,GLD US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,0.0856105727156146,-0.1548750821508315,-1.321222762215695,0.4287350860249398,0.8705589291369142,0.9421355886831058,18.696968649703436,,,0.0,,,138.44375000000002,138.43625,-5.814447697313568,138.44375000000002,138.4525,-20.86321442270497,138.44375000000002,140.225,-10.774978393725512,138.44375000000002,145.98375,257.4991730813256,210.49843275049835,9,0.8888888888888888
S0474,NBIS US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,8.72893333192524,169.80767126675133,1407.949285447579,13.981550710433073,318.9119457200486,75513.91043380903,51.220374175521755,,,0.0,,,40.711875,41.041875,15.116188193641925,40.711875,41.55875,48.26599906919,40.711875,43.05375,161.57911665500373,40.711875,43.676874999999995,185.4468366658061,210.49843275049835,9,0.8888888888888888
S0474,LLY US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,15.423882765633092,296.5997492581697,1294.9597350101162,33.1126162939552,,,115.39483252038556,,,0.0,,,119.8825,120.3725,-8.151899698540998,119.8825,121.59,11.380196501429626,119.8825,130.325,538.1283655727511,119.8825,133.47625,907.6567523769968,210.49843275049835,9,0.8888888888888888
S0474,TSLA US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,9.42782422855001,42.273556910009894,812.5665259789225,28.297381417920846,,,94.53910486352588,,,0.0,,,22.802,22.986925000000003,4.729363478368417,22.802,23.796,31.86360093107755,22.802,27.353575,262.28903562930856,22.802,30.531924999999998,471.30741557424005,210.49843275049835,9,0.8888888888888888
S0474,AAPL US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,12.430346063004048,,383.15652772000186,27.86854506245008,,,64.78012234953327,,,0.0,,,66.7221875,67.21281249999998,29.55553360262209,66.7221875,68.2425,88.07396634605882,66.7221875,70.68937500000001,206.5165799062978,66.7221875,75.3990625,457.30171901792323,210.49843275049835,9,0.8888888888888888
S0474,NVDA US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,14.4624128727366,74.29278431779237,3035.661352051153,35.1987266811276,,,80.5081021218021,,,0.0,,,5.3298625,5.3809000000000005,1.5596520812811652,5.3298625,5.4911625,6.056330270982238,5.3298625,5.899649999999999,33.59028738189619,5.3298625,5.987487499999999,42.22679128958345,210.49843275049835,9,0.8888888888888888
S0474,QQQ US Equity,"[""corr_LLY US Equity:PX_LAST_XLK US Equity:PX_LAST_60d z-score > 1.5"", ""corr_delta_LF94TRUU Index:PX_LAST_SPCSUSA Index:PX_LAST z-score > 1.5"", ""corr_delta_NVDA US Equity:PX_LAST_SPCSUSA Index:PX_LAST z-score < -1.5""]",8,long,correlation_delta,2019-12-03,2019-12-12,12.771877839059464,21.5366215915014,268.0231000468945,28.86806076960206,,183770.43181317352,210.49843275049835,,,0.0,,,203.89125,204.61374999999998,20.040143617319565,203.89125,206.28875,112.0041774852512,203.89125,211.36875,389.9166196931358,203.89125,216.07625000000002,618.9839652979513,210.49843275049835,9,0.8888888888888888
