setup_id,trigger_date,target_ticker,horizon_days,entry_direction,underlying_entry_px,Underlying_Exit_Price,Return_Underlying,ivol_at_entry,pnl_per_share,option_type,strike_price,entry_premium,exit_value,pnl_dollars,skipped_reason
S0003,2021-03-11,QQQ US Equity,3,short,318.04,318.83,0.002483964281222373,26.089,-3.0079089361472766,put,318.04,3.0079089361472766,0.0,-300.7908936147277,None
S0003,2021-03-12,QQQ US Equity,3,short,315.46,318.83,0.010682812400938328,27.163,-3.106329628177864,put,315.46,3.106329628177864,0.0,-310.6329628177864,None
S0003,2021-12-03,QQQ US Equity,3,short,383.13,386.2,0.008012945997442103,28.091,-3.9015651715830466,put,383.13,3.9015651715830466,0.0,-390.15651715830467,None
S0003,2021-12-06,QQQ US Equity,3,short,386.2,393.73,0.019497669601242957,25.611,-3.5856204156849105,put,386.2,3.5856204156849105,0.0,-358.56204156849105,None
S0003,2021-12-07,QQQ US Equity,3,short,397.83,398.01,0.00045245456602067925,21.685,-3.1273930208208793,put,397.83,3.1273930208208793,0.0,-312.73930208208793,None
S0003,2021-12-08,QQQ US Equity,3,short,399.61,398.01,-0.004003903806211112,20.227,-1.330173447024681,put,399.61,2.930173447024704,1.6000000000000227,-133.0173447024681,None
S0003,2021-12-09,QQQ US Equity,3,short,393.73,392.26,-0.0037335229725955024,21.757,-1.6354391581811307,put,393.73,3.105439158181158,1.4700000000000273,-163.54391581811308,None
S0003,2025-02-21,QQQ US Equity,3,short,526.08,519.87,-0.011804288321167951,18.585,2.6656233782807206,put,526.08,3.544376621719316,6.210000000000036,266.56233782807203,None
S0003,2025-02-25,QQQ US Equity,3,short,513.32,508.17,-0.01003272812280845,20.481,1.3387727099645192,put,513.32,3.811227290035515,5.150000000000034,133.87727099645193,None
S0003,2021-03-09,QQQ US Equity,10,short,311.77,313.14,0.0043942650030471325,28.605,-5.902570107562132,put,311.77,5.902570107562132,0.0,-590.2570107562133,None
S0003,2021-03-10,QQQ US Equity,10,short,310.88,313.14,0.007269686052496111,29.004,-5.967817844836452,put,310.88,5.967817844836452,0.0,-596.7817844836452,None
S0003,2021-03-11,QQQ US Equity,10,short,318.04,318.61,0.0017922273927807608,26.089,-5.491665250830765,put,318.04,5.491665250830765,0.0,-549.1665250830765,None
S0003,2021-03-12,QQQ US Equity,10,short,315.46,318.61,0.00998541811957153,27.163,-5.671356027998837,put,315.46,5.671356027998837,0.0,-567.1356027998837,None
S0003,2021-12-03,QQQ US Equity,10,short,383.13,392.26,0.023830031581969554,28.091,-7.123250846841828,put,383.13,7.123250846841828,0.0,-712.3250846841828,None
S0003,2021-12-06,QQQ US Equity,10,short,386.2,386.84,0.0016571724495079918,25.611,-6.546417281072253,put,386.2,6.546417281072253,0.0,-654.6417281072254,None
S0003,2021-12-07,QQQ US Equity,10,short,397.83,384.91,-0.032476183294371866,21.685,7.210187654373895,put,397.83,5.709812345626064,12.919999999999959,721.0187654373894,None
S0003,2021-12-08,QQQ US Equity,10,short,399.61,384.91,-0.03678586621956405,20.227,9.350259685539658,put,399.61,5.34974031446033,14.699999999999989,935.0259685539659,None
S0003,2021-12-09,QQQ US Equity,10,short,393.73,380.69,-0.033119142559622124,21.757,7.370269740347774,put,393.73,5.669730259652247,13.04000000000002,737.0269740347774,None
S0003,2025-02-21,QQQ US Equity,10,short,526.08,497.05,-0.055181721411192264,18.585,22.558883239967948,put,526.08,6.471116760032081,29.03000000000003,2255.888323996795,None
S0003,2025-02-25,QQQ US Equity,10,short,513.32,491.79,-0.04194264786098346,20.481,14.571682804894245,put,513.32,6.958317195105785,21.53000000000003,1457.1682804894244,None
S0003,2021-03-09,QQQ US Equity,21,short,311.77,314.32,0.008179106392532994,28.605,-8.553636719947878,put,311.77,8.553636719947878,0.0,-855.3636719947879,None
S0003,2021-03-10,QQQ US Equity,21,short,310.88,319.13,0.026537570766855378,29.004,-8.648189674215732,put,310.88,8.648189674215732,0.0,-864.8189674215732,None
S0003,2021-03-11,QQQ US Equity,21,short,318.04,324.57,0.02053200855238326,26.089,-7.958179011374554,put,318.04,7.958179011374554,0.0,-795.8179011374555,None
S0003,2021-03-12,QQQ US Equity,21,short,315.46,324.57,0.028878463196601832,27.163,-8.218575686350365,put,315.46,8.218575686350365,0.0,-821.8575686350365,None
S0003,2021-12-03,QQQ US Equity,21,short,383.13,396.92,0.0359930049852531,28.091,-10.322571167919788,put,383.13,10.322571167919788,0.0,-1032.257116791979,None
S0003,2021-12-06,QQQ US Equity,21,short,386.2,403.48,0.044743656136716804,25.611,-9.486659915778313,put,386.2,9.486659915778313,0.0,-948.6659915778313,None
S0003,2021-12-07,QQQ US Equity,21,short,397.83,401.61,0.009501545886433978,21.685,-8.27430418505109,put,397.83,8.27430418505109,0.0,-827.430418505109,None
S0003,2021-12-08,QQQ US Equity,21,short,399.61,401.55,0.0048547333650309,20.227,-7.75251023911226,put,399.61,7.75251023911226,0.0,-775.251023911226,None
S0003,2021-12-09,QQQ US Equity,21,short,393.73,400.35,0.01681355243440938,21.757,-8.216219724189116,put,393.73,8.216219724189116,0.0,-821.6219724189116,None
S0003,2025-02-21,QQQ US Equity,21,short,526.08,479.66,-0.08823753041362532,18.585,37.04246090617946,put,526.08,9.377539093820562,46.420000000000016,3704.246090617946,None
S0003,2025-02-25,QQQ US Equity,21,short,513.32,474.54,-0.07554741681602124,20.481,28.696440400623423,put,513.32,10.083559599376608,38.78000000000003,2869.6440400623424,None
S0003,2021-03-09,SPY US Equity,1,short,387.17,389.58,0.006224655835937619,18.965,-1.5368073344768012,put,387.17,1.5368073344768012,0.0,-153.68073344768013,None
S0003,2021-03-10,SPY US Equity,1,short,389.58,393.53,0.010139124185019737,17.736,-1.4461628882741395,put,389.58,1.4461628882741395,0.0,-144.61628882741394,None
S0003,2021-03-11,SPY US Equity,1,short,393.53,394.06,0.0013467842350012187,16.492,-1.3583636482425478,put,393.53,1.3583636482425478,0.0,-135.8363648242548,None
S0003,2021-03-12,SPY US Equity,1,short,394.06,394.06,0.0,15.463,-1.2753253369336093,put,394.06,1.2753253369336093,0.0,-127.53253369336093,None
S0003,2021-12-03,SPY US Equity,1,short,453.42,453.42,0.0,22.001,-2.0878917231644447,put,453.42,2.0878917231644447,0.0,-208.78917231644448,None
S0003,2021-12-06,SPY US Equity,1,short,458.79,468.28,0.02068484491815417,19.787,-1.9000226407028522,put,458.79,1.9000226407028522,0.0,-190.0022640702852,None
S0003,2021-12-07,SPY US Equity,1,short,468.28,469.52,0.0026479883830187265,15.933,-1.5615936878155248,put,468.28,1.5615936878155248,0.0,-156.15936878155247,None
S0003,2021-12-08,SPY US Equity,1,short,469.52,466.35,-0.006751576077696284,14.786,1.7169864062216862,put,469.52,1.4530135937782729,3.169999999999959,171.69864062216863,None
S0003,2021-12-09,SPY US Equity,1,short,466.35,470.74,0.009413530610056795,15.952,-1.5570121483263393,put,466.35,1.5570121483263393,0.0,-155.70121483263392,None
S0003,2025-02-21,SPY US Equity,1,short,599.94,599.94,0.0,14.104,-1.7709854660524424,put,599.94,1.7709854660524424,0.0,-177.09854660524425,None
S0003,2025-02-25,SPY US Equity,1,short,594.24,594.54,0.0005048465266558201,15.176,-1.8874874773819468,put,594.24,1.8874874773819468,0.0,-188.74874773819468,None
S0003,2021-03-09,SPY US Equity,3,short,387.17,394.06,0.017795800294444265,18.965,-2.661828384758317,put,387.17,2.661828384758317,0.0,-266.1828384758317,None
S0003,2021-03-10,SPY US Equity,3,short,389.58,394.06,0.011499563632630059,17.736,-2.5048275985113637,put,389.58,2.5048275985113637,0.0,-250.48275985113636,None
S0003,2021-03-11,SPY US Equity,3,short,393.53,396.41,0.007318374710949743,16.492,-2.3527548539107115,put,393.53,2.3527548539107115,0.0,-235.27548539107116,None
S0003,2021-03-12,SPY US Equity,3,short,394.06,396.41,0.005963558848906316,15.463,-2.2089282797489083,put,394.06,2.2089282797489083,0.0,-220.89282797489082,None
S0003,2021-12-03,SPY US Equity,3,short,453.42,458.79,0.011843324070398316,22.001,-3.6163345452233515,put,453.42,3.6163345452233515,0.0,-361.63345452233517,None
S0003,2021-12-06,SPY US Equity,3,short,458.79,466.35,0.01647812724776042,19.787,-3.290935749228526,put,458.79,3.290935749228526,0.0,-329.0935749228526,None
S0003,2021-12-07,SPY US Equity,3,short,468.28,470.74,0.005253267275988803,15.933,-2.704759608075341,put,468.28,2.704759608075341,0.0,-270.4759608075341,None
S0003,2021-12-08,SPY US Equity,3,short,469.52,470.74,0.0025983983642869895,14.786,-2.516693368512214,put,469.52,2.516693368512214,0.0,-251.6693368512214,None
S0003,2021-12-09,SPY US Equity,3,short,466.35,466.57,0.0004717486866087068,15.952,-2.696824148903189,put,466.35,2.696824148903189,0.0,-269.68241489031885,None
S0003,2025-02-21,SPY US Equity,3,short,599.94,597.21,-0.00455045504550458,14.104,-0.33743680666885956,put,599.94,3.0674368066688777,2.730000000000018,-33.74368066688596,None
S0003,2025-02-25,SPY US Equity,3,short,594.24,594.18,-0.0001009693053312788,15.176,-3.209224209475485,put,594.24,3.269224209475544,0.06000000000005912,-320.92242094754846,None
S0003,2021-03-09,SPY US Equity,10,short,387.17,389.48,0.00596637136141747,18.965,-4.8598115017989025,put,387.17,4.8598115017989025,0.0,-485.9811501798903,None
S0003,2021-03-10,SPY US Equity,10,short,389.58,389.48,-0.00025668668822826095,17.736,-4.4731685945539255,put,389.58,4.573168594553891,0.0999999999999659,-447.31685945539255,None
S0003,2021-03-11,SPY US Equity,10,short,393.53,392.59,-0.002388636190379381,16.492,-3.35552301922223,put,393.53,4.295523019222228,0.9399999999999977,-335.55230192222297,None
S0003,2021-03-12,SPY US Equity,10,short,394.06,392.59,-0.0037303963863371753,15.463,-2.5629328224318364,put,394.06,4.032932822431864,1.4700000000000273,-256.2932822431836,None
S0003,2021-12-03,SPY US Equity,10,short,453.42,466.57,0.02900180847779096,22.001,-6.6024933530133865,put,453.42,6.6024933530133865,0.0,-660.2493353013386,None
S0003,2021-12-06,SPY US Equity,10,short,458.79,466.45,0.01669609189389474,19.787,-6.008399150508761,put,458.79,6.008399150508761,0.0,-600.8399150508761,None
S0003,2021-12-07,SPY US Equity,10,short,468.28,459.87,-0.017959340565473582,15.933,3.4718071667609802,put,468.28,4.938192833238988,8.409999999999968,347.18071667609803,None
S0003,2021-12-08,SPY US Equity,10,short,469.52,459.87,-0.020552905094564613,14.786,5.055167572473972,put,469.52,4.594832427526005,9.649999999999977,505.5167572473972,None
S0003,2021-12-09,SPY US Equity,10,short,466.35,454.98,-0.024380829848826,15.952,6.446295266736847,put,466.35,4.923704733263158,11.370000000000005,644.6295266736847,None
S0003,2025-02-21,SPY US Equity,10,short,599.94,583.77,-0.026952695269527073,14.104,10.56965222421955,put,599.94,5.6003477757805245,16.170000000000073,1056.9652224219549,None
S0003,2025-02-25,SPY US Equity,10,short,594.24,575.92,-0.03082929456112017,15.176,12.35124051642755,put,594.24,5.9687594835725,18.32000000000005,1235.124051642755,None
S0003,2021-03-09,SPY US Equity,21,short,387.17,394.73,0.01952630627372989,18.965,-7.042535938803258,put,387.17,7.042535938803258,0.0,-704.2535938803259,None
S0003,2021-03-10,SPY US Equity,21,short,389.58,396.33,0.017326351455413523,17.736,-6.627150902752209,put,389.58,6.627150902752209,0.0,-662.715090275221,None
S0003,2021-03-11,SPY US Equity,21,short,393.53,400.61,0.01799100449775123,16.492,-6.2248042393478435,put,393.53,6.2248042393478435,0.0,-622.4804239347843,None
S0003,2021-03-12,SPY US Equity,21,short,394.06,400.61,0.016621834238440877,15.463,-5.844274892193324,put,394.06,5.844274892193324,0.0,-584.4274892193324,None
S0003,2021-12-03,SPY US Equity,21,short,453.42,470.6,0.037889815182391616,22.001,-9.56792186427285,put,453.42,9.56792186427285,0.0,-956.7921864272851,None
S0003,2021-12-06,SPY US Equity,21,short,458.79,477.26,0.04025807014102306,19.787,-8.706997573150703,put,458.79,8.706997573150703,0.0,-870.6997573150703,None
S0003,2021-12-07,SPY US Equity,21,short,468.28,476.87,0.018343725975911915,15.933,-7.156121279179881,put,468.28,7.156121279179881,0.0,-715.6121279179881,None
S0003,2021-12-08,SPY US Equity,21,short,469.52,477.48,0.016953484409609892,14.786,-6.658544779288751,put,469.52,6.658544779288751,0.0,-665.8544779288751,None
S0003,2021-12-09,SPY US Equity,21,short,466.35,476.16,0.02103570279832744,15.952,-7.135126027671259,put,466.35,7.135126027671259,0.0,-713.5126027671258,None
S0003,2025-02-21,SPY US Equity,21,short,599.94,562.81,-0.06188952228556206,14.104,29.014325047148148,put,599.94,8.115674952851963,37.13000000000011,2901.432504714815,None
S0003,2025-02-25,SPY US Equity,21,short,594.24,561.02,-0.055903338718363,15.176,24.570445761616007,put,594.24,8.649554238384018,33.22000000000003,2457.0445761616006,None
S0003,2021-03-09,XLK US Equity,1,short,130.11,129.59,-0.003996618246099533,24.215,-0.13941683307302544,put,130.11,0.6594168330730357,0.5200000000000102,-13.941683307302544,None
S0003,2021-03-10,XLK US Equity,1,short,129.59,132.36,0.02137510610386612,28.295,-0.767442890442807,put,129.59,0.767442890442807,0.0,-76.7442890442807,None
S0003,2021-03-11,XLK US Equity,1,short,132.36,131.41,-0.007177394983378793,26.04,0.2286224584708474,put,132.36,0.7213775415291697,0.950000000000017,22.86224584708474,None
S0003,2021-03-12,XLK US Equity,1,short,131.41,131.41,0.0,27.613,-0.7594634664584676,put,131.41,0.7594634664584676,0.0,-75.94634664584676,None
S0003,2021-12-03,XLK US Equity,1,short,165.13,165.13,0.0,27.882,-0.9636399197583808,put,165.13,0.9636399197583808,0.0,-96.36399197583808,None
S0003,2021-12-06,XLK US Equity,1,short,166.7,172.52,0.03491301739652083,25.092,-0.8754588910482936,put,166.7,0.8754588910482936,0.0,-87.54588910482936,None
S0003,2021-12-07,XLK US Equity,1,short,172.52,173.31,0.004579179225596986,21.021,-0.759027831708226,put,172.52,0.759027831708226,0.0,-75.9027831708226,None
S0003,2021-12-08,XLK US Equity,1,short,173.31,171.44,-0.010789914026888262,19.935,1.1468893776421463,put,173.31,0.7231106223578582,1.8700000000000045,114.68893776421463,None
S0003,2021-12-09,XLK US Equity,1,short,171.44,174.88,0.020065328978068116,22.095,-0.7928135114382561,put,171.44,0.7928135114382561,0.0,-79.2813511438256,None
S0003,2025-02-21,XLK US Equity,1,short,234.87,234.87,0.0,22.224,-1.0924829182784093,put,234.87,1.0924829182784093,0.0,-109.24829182784093,None
S0003,2025-02-25,XLK US Equity,1,short,228.51,231.0,0.01089667848234217,25.008,-1.1960492140514236,put,228.51,1.1960492140514236,0.0,-119.60492140514236,None
S0003,2021-03-09,XLK US Equity,3,short,130.11,131.41,0.009991545615248504,24.215,-1.1421434582486631,put,130.11,1.1421434582486631,0.0,-114.21434582486631,None
S0003,2021-03-10,XLK US Equity,3,short,129.59,131.41,0.014044293541168247,28.295,-1.3292500781544574,put,129.59,1.3292500781544574,0.0,-132.92500781544575,None
S0003,2021-03-11,XLK US Equity,3,short,132.36,132.81,0.0033998186763371757,26.04,-1.2494625533676496,put,132.36,1.2494625533676496,0.0,-124.94625533676495,None
S0003,2021-03-12,XLK US Equity,3,short,131.41,132.81,0.010653679324252383,27.613,-1.3154293103984478,put,131.41,1.3154293103984478,0.0,-131.54293103984477,None
S0003,2021-12-03,XLK US Equity,3,short,165.13,166.7,0.009507660631017946,27.882,-1.6690733012231116,put,165.13,1.6690733012231116,0.0,-166.90733012231115,None
S0003,2021-12-06,XLK US Equity,3,short,166.7,171.44,0.02843431313737258,25.092,-1.5163392792335506,put,166.7,1.5163392792335506,0.0,-151.63392792335506,None
S0003,2021-12-07,XLK US Equity,3,short,172.52,174.88,0.013679573382796111,21.021,-1.3146747688774867,put,172.52,1.3146747688774867,0.0,-131.46747688774866,None
S0003,2021-12-08,XLK US Equity,3,short,173.31,174.88,0.00905891177658527,19.935,-1.2524643374165616,put,173.31,1.2524643374165616,0.0,-125.24643374165616,None
S0003,2021-12-09,XLK US Equity,3,short,171.44,172.28,0.00489967335510968,22.095,-1.3731932827381488,put,171.44,1.3731932827381488,0.0,-137.31932827381488,None
S0003,2025-02-21,XLK US Equity,3,short,234.87,231.51,-0.014305786179588767,22.224,1.467764079140691,put,234.87,1.8922359208593227,3.3600000000000136,146.7764079140691,None
S0003,2025-02-25,XLK US Equity,3,short,228.51,225.53,-0.013041004770031901,25.008,0.9083819929101002,put,228.51,2.0716180070898895,2.9799999999999898,90.83819929101003,None
S0003,2021-03-09,XLK US Equity,10,short,130.11,129.6,-0.003919760202905382,24.215,-1.575259119965823,put,130.11,2.0852591199658423,0.5100000000000193,-157.5259119965823,None
S0003,2021-03-10,XLK US Equity,10,short,129.59,129.6,7.716644802832707e-05,28.295,-2.4268675079023376,put,129.59,2.4268675079023376,0.0,-242.68675079023376,None
