setup_id,rank,best_performing_ticker,obj_sortino,obj_calmar,obj_support,entry_direction,first_trigger_date,last_trigger_date,recency_sharpe,avg_option_pnl_dollars_1d,avg_option_pnl_pct_1d,avg_option_pnl_dollars_3d,avg_option_pnl_pct_3d,avg_option_pnl_dollars_10d,avg_option_pnl_pct_10d,avg_option_pnl_dollars_21d,avg_option_pnl_pct_21d,description
S0118,1,SPY US Equity,100.0,100.0,19,long,2019-06-18,2024-08-09,5.2351,0.2903,22.4832,42.4998,37.7406,808.2582,106.4757,797.2799,71.2233,"When div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity surges unexpectedly and zscore_corr(20d)(INJCJC Index:PX_LAST, XLF US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook."
S0231,1,SPY US Equity,75.4394,100.0,35,long,2018-07-24,2025-07-25,5.5779,6.045,17.3681,-12.4759,11.2204,224.5915,61.2884,237.0348,67.8237,"When beta(BSPGCPUS Index:PX_LAST, SPCSUSA Index:PX_LAST, 60d) surges unexpectedly and beta(CPI YOY Index:PX_LAST, QQQ US Equity:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook."
S0186,1,SPY US Equity,48.3495,100.0,38,long,2019-05-31,2024-11-19,8.8893,38.1609,19.4289,4.0812,3.5889,423.9981,80.7405,369.7,54.9603,"When corr(CPI CHNG Index:PX_LAST, NVDA US Equity:PX_LAST, 60d) surges unexpectedly and div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high, it may indicate a bullish outlook."
S0071,1,SPY US Equity,18.7624,100.0,132,long,2020-03-19,2022-12-21,-4.9382,29.0911,20.1035,14.4777,8.683,97.2061,23.6307,266.125,34.5819,"When beta(LF94TRUU Index:PX_LAST, MLCX3CRT Index:PX_LAST, 60d) is very high and corr(MLCX3CRT Index:PX_LAST, NVDA US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook."
S0233,1,QQQ US Equity,4.3576,16.8353,385,long,2018-04-04,2025-05-12,9.9896,46.1783,26.057,69.2561,23.2662,202.0339,34.6077,281.2248,33.5826,"When div(CALL_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high and div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high, it may indicate a bullish outlook."
S0238,1,QQQ US Equity,4.2819,21.6681,307,long,2018-04-06,2025-05-12,9.5886,45.4584,27.2214,48.4552,21.0302,205.8255,34.2669,295.0869,35.026,"When div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high and div(CALL_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high, it may indicate a bullish outlook."
S0078,1,QQQ US Equity,2.1848,2.8612,391,long,2018-02-28,2025-08-06,6.1057,23.2887,8.1019,-3.4971,-3.3853,28.3535,7.0704,95.2172,15.7656,"When zscore_IVOL_SIGMA_30d__ARKK US Equity is very high, it may indicate a bullish outlook."
