setup_id,trigger_date,target_ticker,horizon_days,pnl_per_share,option_type,strike_price,entry_premium,exit_value,pnl_dollars,pnl_pct,skipped_reason,Underlying_Exit_Price,Return_Underlying
S0048,2021-03-24,LLY US Equity,21,-4.353759876293777,put,180.17,4.353759876293777,0.0,-435.38,-100.0,None,183.0,0.01570738746739198
S0048,2021-03-30,LLY US Equity,1,-1.0687059061744204,put,185.5,1.0687059061744204,0.0,-106.87,-100.0,None,186.82,0.007115902964959532
S0048,2021-03-30,LLY US Equity,3,-1.591052927843043,put,185.5,1.8510529278430339,0.2599999999999909,-159.11,-85.9539,None,185.24,-0.0014016172506738055
S0048,2021-03-30,LLY US Equity,10,-2.369544812385383,put,185.5,3.3795448123853737,1.009999999999991,-236.95,-70.1143,None,184.49,-0.005444743935309924
S0048,2021-03-30,LLY US Equity,21,-4.897425710690655,put,185.5,4.897425710690655,0.0,-489.74,-100.0,None,190.61,0.02754716981132083
S0048,2021-03-31,LLY US Equity,1,0.6133324969001892,put,186.82,0.9666675030997949,1.579999999999984,61.33,63.4481,None,185.24,-0.008457338614709261
S0048,2021-03-31,LLY US Equity,3,0.2556827706054168,put,186.82,1.67431722939459,1.9300000000000068,25.57,15.2709,None,184.89,-0.010330799700246264
S0048,2021-03-31,LLY US Equity,10,1.9431289501367708,put,186.82,3.056871049863229,5.0,194.31,63.5659,None,181.82,-0.026763729793384008
S0048,2021-03-31,LLY US Equity,21,-4.429827004808769,put,186.82,4.429827004808769,0.0,-442.98,-100.0,None,190.95,0.022106840809335164
S0048,2021-04-01,LLY US Equity,1,-0.8188994461126424,put,185.24,0.8188994461126424,0.0,-81.89,-100.0,None,185.24,0.0
S0048,2021-04-01,LLY US Equity,3,-1.068375446957086,put,185.24,1.4183754469571088,0.35000000000002274,-106.84,-75.3239,None,184.89,-0.0018894407255453612
S0048,2021-04-01,LLY US Equity,10,0.8304125756337468,put,185.24,2.589587424366269,3.420000000000016,83.04,32.0674,None,181.82,-0.01846253508961356
S0048,2021-04-01,LLY US Equity,21,-3.752668698368595,put,185.24,3.752668698368595,0.0,-375.27,-100.0,None,187.05,0.009771107752105388
S0048,2021-04-02,LLY US Equity,1,-0.4688994461126197,put,185.24,0.8188994461126424,0.35000000000002274,-46.89,-57.2597,None,184.89,-0.0018894407255453612
S0048,2021-04-02,LLY US Equity,3,-1.068375446957086,put,185.24,1.4183754469571088,0.35000000000002274,-106.84,-75.3239,None,184.89,-0.0018894407255453612
S0048,2021-04-02,LLY US Equity,10,0.8304125756337468,put,185.24,2.589587424366269,3.420000000000016,83.04,32.0674,None,181.82,-0.01846253508961356
S0048,2021-04-02,LLY US Equity,21,-3.752668698368595,put,185.24,3.752668698368595,0.0,-375.27,-100.0,None,188.72,0.018786439213992603
S0048,2021-04-05,LLY US Equity,1,1.1978927784327746,put,184.89,0.8921072215672003,2.089999999999975,119.79,134.2768,None,182.8,-0.011304018605657284
S0048,2021-04-05,LLY US Equity,3,0.7348249664464759,put,184.89,1.5451750335534968,2.2799999999999727,73.48,47.5561,None,182.61,-0.012331656660717037
S0048,2021-04-05,LLY US Equity,10,-2.8210907372368403,put,184.89,2.8210907372368403,0.0,-282.11,-100.0,None,185.92,0.005570879982692419
S0048,2021-04-05,LLY US Equity,21,-4.088148870848436,put,184.89,4.088148870848436,0.0,-408.81,-100.0,None,187.22,0.012602087727838242
S0048,2021-04-23,LLY US Equity,1,0.492163009393509,put,188.72,1.007836990606491,1.5,49.22,48.8336,None,187.22,-0.0079482831708351
S0048,2021-04-23,LLY US Equity,3,-0.24562487347775996,put,188.72,1.74562487347776,1.5,-24.56,-14.0709,None,187.22,-0.0079482831708351
S0048,2021-04-23,LLY US Equity,10,-0.38706040048622414,put,188.72,3.1870604004862355,2.8000000000000114,-38.71,-12.1447,None,185.92,-0.014836795252225579
S0048,2021-04-23,LLY US Equity,21,-4.618489297630743,put,188.72,4.618489297630743,0.0,-461.85,-100.0,None,196.21,0.03968842729970331
S0052,2020-03-19,LLY US Equity,1,-3.2055392576275827,call,133.09,3.2055392576275827,0.0,-320.55,-100.0,None,122.4,-0.08032158689608533
S0052,2020-03-19,LLY US Equity,3,-5.552156859867594,call,133.09,5.552156859867594,0.0,-555.22,-100.0,None,119.05,-0.10549252385603732
S0052,2020-03-19,LLY US Equity,10,-4.7868051831884415,call,133.09,10.136805183188436,5.349999999999994,-478.68,-47.222,None,138.44,0.040198362010669425
S0052,2020-03-19,LLY US Equity,21,-2.0496262912309593,call,133.09,14.689626291230946,12.639999999999986,-204.96,-13.9529,None,145.73,0.09497332632053487
S0052,2020-03-20,LLY US Equity,1,-1.9261376506234587,call,122.4,1.9261376506234587,0.0,-192.61,-100.0,None,119.05,-0.027369281045751703
S0052,2020-03-20,LLY US Equity,3,-3.336168273251182,call,122.4,3.336168273251182,0.0,-333.62,-100.0,None,119.05,-0.027369281045751703
S0052,2020-03-20,LLY US Equity,10,9.949017937024221,call,122.4,6.090982062975771,16.039999999999992,994.9,163.3401,None,138.44,0.13104575163398685
S0052,2020-03-20,LLY US Equity,21,14.503328417113579,call,122.4,8.826671582886405,23.329999999999984,1450.33,164.3125,None,145.73,0.19060457516339854
S0052,2020-07-13,LLY US Equity,1,0.5831920137089563,call,162.08,1.2168079862910266,1.799999999999983,58.32,47.928,None,163.88,0.011105626850937703
S0052,2020-07-13,LLY US Equity,3,0.8124267446883557,call,162.08,2.1075732553116318,2.9199999999999875,81.24,38.548,None,165.0,0.018015794669299035
S0052,2020-07-13,LLY US Equity,10,-3.847884711762585,call,162.08,3.847884711762585,0.0,-384.79,-100.0,None,161.52,-0.0034550839091806655
S0052,2020-07-13,LLY US Equity,21,-5.576114703405417,call,162.08,5.576114703405417,0.0,-557.61,-100.0,None,152.84,-0.057008884501480804
S0052,2022-10-06,LLY US Equity,1,-2.17743538483165,call,332.95,2.17743538483165,0.0,-217.74,-100.0,None,326.66,-0.018891725484306843
S0052,2022-10-06,LLY US Equity,3,-3.7714287167267084,call,332.95,3.7714287167267084,0.0,-377.14,-100.0,None,323.89,-0.027211292986934983
S0052,2022-10-06,LLY US Equity,10,-6.885655273913264,call,332.95,6.885655273913264,0.0,-688.57,-100.0,None,332.76,-0.00057065625469289
S0052,2022-10-06,LLY US Equity,21,13.40173752813366,call,332.95,9.978262471866335,23.379999999999995,1340.17,134.3093,None,356.33,0.07022075386694698
S0052,2022-10-07,LLY US Equity,1,-2.1279451505281655,call,326.66,2.1279451505281655,0.0,-212.79,-100.0,None,323.89,-0.008479764893161202
S0052,2022-10-07,LLY US Equity,3,-3.685709116434585,call,326.66,3.685709116434585,0.0,-368.57,-100.0,None,323.89,-0.008479764893161202
S0052,2022-10-07,LLY US Equity,10,-0.6291534115788906,call,326.66,6.7291534115788565,6.099999999999966,-62.92,-9.3497,None,332.76,0.018673850486744522
S0052,2022-10-07,LLY US Equity,21,23.488530272990438,call,326.66,9.751469727009516,33.23999999999995,2348.85,240.8717,None,359.9,0.10175717871793287
S0052,2022-10-10,LLY US Equity,1,1.5976860179212662,call,323.89,2.11231398207877,3.7100000000000364,159.77,75.6368,None,327.6,0.011454506159498707
S0052,2022-10-10,LLY US Equity,3,4.5513648615014715,call,323.89,3.658635138498565,8.210000000000036,455.14,124.4006,None,332.1,0.025348112013337976
S0052,2022-10-10,LLY US Equity,10,-1.499723316788998,call,323.89,6.679723316789005,5.180000000000007,-149.97,-22.4519,None,329.07,0.01599308407175278
S0052,2022-10-10,LLY US Equity,21,28.52016128561043,call,323.89,9.679838714389557,38.19999999999999,2852.02,294.6347,None,362.09,0.11794127635925775
S0052,2022-10-11,LLY US Equity,1,-2.318072245938,call,327.6,2.318072245938,0.0,-231.81,-100.0,None,324.57,-0.00924908424908434
S0052,2022-10-11,LLY US Equity,3,-0.22501890557995097,call,327.6,4.015018905579915,3.7899999999999636,-22.5,-5.6044,None,331.39,0.011568986568986457
S0052,2022-10-11,LLY US Equity,10,5.83961192201388,call,327.6,7.330388077986079,13.169999999999959,583.96,79.6631,None,340.77,0.04020146520146507
S0052,2022-10-11,LLY US Equity,21,14.357258466612786,call,327.6,10.622741533387176,24.97999999999996,1435.73,135.1559,None,352.58,0.07625152625152613
S0052,2022-10-12,LLY US Equity,1,5.221887321864891,call,324.57,2.308112678135138,7.53000000000003,522.19,226.2406,None,332.1,0.023199926056012662
S0052,2022-10-12,LLY US Equity,3,4.192231571876068,call,324.57,3.9977684281239303,8.189999999999998,419.22,104.8643,None,332.76,0.02523338571032442
S0052,2022-10-12,LLY US Equity,10,16.031106840781828,call,324.57,7.298893159218156,23.329999999999984,1603.11,219.6375,None,347.9,0.07187971778044792
S0052,2022-10-12,LLY US Equity,21,19.812898939958473,call,324.57,10.577101060041514,30.389999999999986,1981.29,187.3188,None,354.96,0.09363157408263237
S0052,2022-10-13,LLY US Equity,1,-2.1614295044844876,call,332.1,2.1614295044844876,0.0,-216.14,-100.0,None,331.39,-0.002137910267991678
S0052,2022-10-13,LLY US Equity,3,-3.083705718745587,call,332.1,3.7437057187455554,0.6599999999999682,-308.37,-82.3704,None,332.76,0.001987353206865306
S0052,2022-10-13,LLY US Equity,10,8.964959763939849,call,332.1,6.835040236060105,15.799999999999955,896.5,131.1618,None,347.9,0.04757603131586857
S0052,2022-10-13,LLY US Equity,21,19.675085686388925,call,332.1,9.904914313611057,29.579999999999984,1967.51,198.6396,None,361.68,0.08906955736224023
S0052,2024-04-08,LLY US Equity,1,-4.401496019143791,call,777.29,4.401496019143791,0.0,-440.15,-100.0,None,757.24,-0.02579474842079527
S0052,2024-04-08,LLY US Equity,3,-7.623614734469204,call,777.29,7.623614734469204,0.0,-762.36,-100.0,None,759.59,-0.022771423792921474
S0052,2024-04-08,LLY US Equity,10,-13.918752532658466,call,777.29,13.918752532658466,0.0,-1391.88,-100.0,None,745.95,-0.04031957184577174
S0052,2024-04-08,LLY US Equity,21,-20.170188678773222,call,777.29,20.170188678773222,0.0,-2017.02,-100.0,None,737.2,-0.05157663163040811
S0052,2024-04-09,LLY US Equity,1,0.1759203721888989,call,757.24,4.56407962781111,4.740000000000009,17.59,3.8545,None,761.98,0.006259574243304644
S0052,2024-04-09,LLY US Equity,3,-7.905217805158894,call,757.24,7.905217805158894,0.0,-790.52,-100.0,None,751.64,-0.0073952775870266005
S0052,2024-04-09,LLY US Equity,10,-14.432887046256685,call,757.24,14.432887046256685,0.0,-1443.29,-100.0,None,726.31,-0.04084570281548791
S0052,2024-04-09,LLY US Equity,21,2.9447596277497254,call,757.24,20.915240372250288,23.860000000000014,294.48,14.0795,None,781.1,0.0315091648618668
S0052,2024-04-18,LLY US Equity,1,-4.006561997125556,call,745.95,4.006561997125556,0.0,-400.66,-100.0,None,726.31,-0.02632884241571164
S0052,2024-04-18,LLY US Equity,3,-6.939568942696093,call,745.95,6.939568942696093,0.0,-693.96,-100.0,None,731.33,-0.01959916884509686
S0052,2024-04-18,LLY US Equity,10,-12.669861497589752,call,745.95,12.669861497589752,0.0,-1266.99,-100.0,None,737.2,-0.011730008713720758
S0052,2024-04-18,LLY US Equity,21,7.239626371638607,call,745.95,18.3603736283613,25.59999999999991,723.96,39.4307,None,771.55,0.03431865406528575
S0052,2024-04-19,LLY US Equity,1,0.5653933379912814,call,726.31,4.454606662008814,5.0200000000000955,56.54,12.6923,None,731.33,0.006911649295755388
S0052,2024-04-19,LLY US Equity,3,-2.6956050663339726,call,726.31,7.715605066334068,5.0200000000000955,-269.56,-34.9371,None,731.33,0.006911649295755388
S0052,2024-04-19,LLY US Equity,10,-3.196703132107608,call,726.31,14.086703132107708,10.8900000000001,-319.67,-22.6931,None,737.2,0.014993597775054868
S0052,2024-04-19,LLY US Equity,21,13.2764277800901,call,726.31,20.413572219909955,33.690000000000055,1327.64,65.0373,None,760.0,0.046385152345417326
S0052,2024-04-23,LLY US Equity,1,-5.374878931512974,call,745.69,5.374878931512974,0.0,-537.49,-100.0,None,732.2,-0.01809062747254222
S0052,2024-04-23,LLY US Equity,3,-9.309563393911992,call,745.69,9.309563393911992,0.0,-930.96,-100.0,None,733.51,-0.01633386527913753
S0052,2024-04-23,LLY US Equity,10,-16.996859571233166,call,745.69,16.996859571233166,0.0,-1699.69,-100.0,None,734.97,-0.014375947109388656
S0052,2024-04-23,LLY US Equity,21,-6.3407895548816064,call,745.69,24.63078955488157,18.289999999999964,-634.08,-25.7433,None,763.98,0.024527618715551987
S0052,2025-01-24,LLY US Equity,1,17.865364355651835,call,785.41,4.8946356443481545,22.75999999999999,1786.54,364.9989,None,808.17,0.028978495308182976
S0052,2025-01-24,LLY US Equity,3,14.282242379451358,call,785.41,8.477757620548633,22.75999999999999,1428.22,168.4672,None,808.17,0.028978495308182976
S0052,2025-01-24,LLY US Equity,10,9.541803047213953,call,785.41,15.478196952786028,25.019999999999982,954.18,61.6467,None,810.43,0.03185597331330131
S0052,2025-01-24,LLY US Equity,21,36.429961660545644,call,785.41,22.430038339454367,58.860000000000014,3643.0,162.416,None,844.27,0.07494175016870172
S0052,2025-01-27,LLY US Equity,1,-5.036474820403163,call,808.17,5.036474820403163,0.0,-503.65,-100.0,None,804.99,-0.003934815694717634
S0052,2025-01-27,LLY US Equity,3,6.336569720020444,call,808.17,8.723430279979615,15.06000000000006,633.66,72.6385,None,823.23,0.018634693195738593
S0052,2025-01-27,LLY US Equity,10,46.27326818943857,call,808.17,15.926731810561474,62.200000000000045,4627.33,290.5384,None,870.37,0.07696400509793737
S0052,2025-01-27,LLY US Equity,21,13.01997289976341,call,808.17,23.080027100236613,36.10000000000002,1302.0,56.4123,None,844.27,0.04466881967902796
S0052,2025-01-30,LLY US Equity,1,-6.311980763218956,call,823.23,6.311980763218956,0.0,-631.2,-100.0,None,811.08,-0.014758937356510304
S0052,2025-01-30,LLY US Equity,3,-10.93267137829261,call,823.23,10.93267137829261,0.0,-1093.27,-100.0,None,810.43,-0.015548510136899856
S0052,2025-01-30,LLY US Equity,10,25.689764241060118,call,823.23,19.96023575893986,45.64999999999998,2568.98,128.7047,None,868.88,0.05545230373042768
S0052,2025-01-30,LLY US Equity,21,20.96487036744399,call,823.23,28.925129632555997,49.889999999999986,2096.49,72.4798,None,873.12,0.060602747713275736
S0174,2019-07-19,LLY US Equity,1,0.014901875017080568,call,106.79,0.4650981249829092,0.47999999999998977,1.49,3.204,None,107.27,0.0044948028841650875
S0174,2019-07-19,LLY US Equity,3,-0.3255735829754288,call,106.79,0.8055735829754186,0.47999999999998977,-32.56,-40.4151,None,107.27,0.0044948028841650875
S0174,2019-07-19,LLY US Equity,10,0.4592305895803379,call,106.79,1.4707694104196547,1.9299999999999926,45.92,31.2238,None,108.72,0.018072853263414106
S0174,2019-07-19,LLY US Equity,21,4.848652636683777,call,106.79,2.131347363316213,6.97999999999999,484.87,227.4924,None,113.77,0.06536192527390196
S0174,2019-11-15,LLY US Equity,1,0.48218793464394355,call,113.19,0.3978120653560519,0.8799999999999955,48.22,121.21,None,114.07,0.007774538386783244
S0174,2019-11-15,LLY US Equity,3,0.19096929093940274,call,113.19,0.6890307090605927,0.8799999999999955,19.1,27.7156,None,114.07,0.007774538386783244
S0174,2019-11-15,LLY US Equity,10,3.0220077927791147,call,113.19,1.2579922072208862,4.280000000000001,302.2,240.2247,None,117.47,0.03781252760844599
S0174,2019-11-15,LLY US Equity,21,4.626996098139175,call,113.19,1.8230039018608275,6.450000000000003,462.7,253.8116,None,119.64,0.0569838324940366
S0174,2021-10-13,LLY US Equity,1,-1.1493466257824883,call,236.44,1.3993466257824883,0.25,-114.93,-82.1345,None,236.69,0.0010573507020808662
