setup_id,rank,best_performing_ticker,obj_sortino,obj_calmar,obj_support,entry_direction,first_trigger_date,last_trigger_date,recency_sharpe,avg_option_pnl_dollars_1d,avg_option_pnl_pct_1d,avg_option_pnl_dollars_3d,avg_option_pnl_pct_3d,avg_option_pnl_dollars_10d,avg_option_pnl_pct_10d,avg_option_pnl_dollars_21d,avg_option_pnl_pct_21d,description
S0234,1,QQQ US Equity,100.0,100.0,10,long,2025-06-16,2025-06-27,8.7638,-8.3988,10.3342,3.4424,11.9453,59.7652,52.3215,59.1652,39.77,"When corr(XLE US Equity:PX_LAST, XLK US Equity:PX_LAST, 20d) drops sharply and beta_FARBAST Index:PX_LAST_TSLA US Equity:PX_LAST_60d_z is very high and beta_CO1 Comdty:PX_LAST_LLY US Equity:PX_LAST_60d_z is very high, it may indicate a bullish outlook."
S0169,1,TSLA US Equity,25.5293,100.0,18,long,2019-07-25,2025-06-18,4.348,2.0301,-0.7577,23.9148,-2.0039,308.4027,61.1225,481.2719,62.6393,"When div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high and corr(XLE US Equity:PX_LAST, XLK US Equity:PX_LAST, 20d) drops sharply and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0119,1,SPY US Equity,19.2152,100.0,80,long,2019-01-03,2025-06-27,8.7638,15.0742,24.1197,12.5196,15.9269,63.541,37.2742,107.7024,50.4609,"When beta_FARBAST Index:PX_LAST_TSLA US Equity:PX_LAST_60d_z is very high and beta_CO1 Comdty:PX_LAST_LLY US Equity:PX_LAST_60d_z is very high, it may indicate a bullish outlook."
S0204,1,TSLA US Equity,6.819,100.0,166,long,2018-04-10,2025-06-18,7.9302,24.6942,18.3815,29.4709,12.4101,168.6957,32.8341,231.0076,33.7839,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high, it may indicate a bullish outlook."
S0038,1,TSLA US Equity,6.2713,55.7301,384,long,2018-04-10,2025-06-20,3.623,17.1797,18.4355,21.2171,10.9727,104.2708,23.4642,167.9624,32.4939,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0036,1,NVDA US Equity,3.3585,6.1537,390,long,2018-02-21,2025-08-04,3.9327,9.2683,10.6538,11.4278,10.1522,45.8902,16.737,88.7647,24.1338,"When zscore_IVOL_SIGMA_30d__GLD US Equity is very high, it may indicate a bullish outlook."
